Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"Satellite data indicates that an adversary vessel is detected approximately 250 miles southwest of Chennai, necessitating intercept and interrogation. If the enemy acts aggressively, SSMs may be deployed. The mission must be completed within 36 hours, and the fleet has 18 hours to deploy an appropriate vessel. It should maintain a speed of 22 knots and have an endurance of no less than 9 days (including necessary supplies and fuel).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"The satellite imagery reveals that an adversary vessel is located approximately 250 miles southwest of Chennai. It requires interception and possibly use of SSMs in the event of an aggressive attack. The mission must be completed within 36 hours, and the fleet has 18 hours to deploy an appropriate vessel. This vessel should maintain a speed of 22 knots and have an endurance of no less than 9 days (including necessary supplies and fuel).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An enemy vessel is detected approximately 250 miles southwest of Chennai, according to satellite data. It requires interceptions and interrogations; if the enemy acts aggressively, SSMs may be necessary. The mission needs to be carried out within 36 hours. After this has been completed, the fleet has 18 hours to deploy an appropriate vessel. This vessel should maintain a speed of 22 knots and have an endurance of at least 9 days (including fuel, supplies, and ammunition).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"It is based about 250 millimetres (250 mi) southwest of the city of Chennai, satellite data suggest that an enemy ship has been detected and needs to be intercepted and interrogated and SSMs may be deployed if the enemy moves too aggressively The mission must take around 36 hours and the fleet should have 18 hours to deploy the appropriate vessel with a speed of 22 knots which should last at least 9 days (including fuel and supplies).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"A vessel is detected around 250 miles southwest of Chennai, according to satellite data. To intercept and question the enemy, SSMs may be necessary. The mission must be completed within 36 hours, and the fleet has 18 hours to deploy an appropriate vessel. This means that the ship should have a speed of 22 knots and withstand conditions of at least 9 days (including fuel, supplies, etc.).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Based on satellite data, an adversary vessel is detected approximately 250 miles southwest of Chennai. It requires interceptions and interrogations. If the opponent displays aggression, SSMs may be deployed. The mission needs to be completed within 36 hours. After this, a suitable vessel must be launched.The ship should maintain cruising speed of 22 knots and have an estimated lifespan of 9 days (factoring in supplies and fuel).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"There are signals from satellites showing that an enemy vessel is found approximately 250 miles southwest of Chennai which needs to be intercepted and interrogated, or else it may need to use Special Surface Missile Machines (SSM) in case of an aggressive move; the mission should take around 36 hours - the fleet has 18 hours to deploy such a vessel, which should maintain cruising at 22 knots with 'end date' of at least 9 days (including all fuel and supplies).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"The intercept of an enemy ship, as indicated by satellite data, is required to be conducted approximately 250 miles southwest of Chennai. If the enemy acts aggressively, SSMs may be deployed. The mission needs to take around 36 hours. After that, a suitable vessel must be launched within 18 hours and it must have been maintained at cruising speed of 22 knots with enduring endurance of 9 days (including fuel or supplies).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite imagery shows an enemy vessel approximately 250 miles southwest of Chennai that needs to be intercepted and interrogated (the risk is high if the opponent acts aggressively which may require SSMs) The mission must take around 36 hours and the fleet has 18hours to deploy such a vessel with endurance not less than 9 days (including fuel, supplies, etc.).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary vessel is detected about 250 miles southwest of Chennai. According to satellite data, it needs to be intercepted and interrogated (suspended in case of an aggressive move) and potentially use SSMs for interception; mission must be completed within 36 hours or the fleet has at least 18 hours to deploy the appropriate ship. The vessel should maintain a speedof 22 knots and have an endurance of no less than 9 days (including necessary supplies and fuel).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
