Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"A ship named XYZ, during its operational cycle, has initiated condition-based inspections of shock mounts for various pumps and gas turbines. Some shock mount readings are approaching the warning threshold. The ship is scheduled to embark on a voyage within the next 48 hours, with an anticipated operational duration of 7 days. It's imperative to replace these shock mounts promptly to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"A vessel designated as DEF, currently in its operational cycle, has commenced condition-based inspections on shock mounts for various pumps and gas turbines. Certain shock mount readings are nearing the warning threshold. The vessel is set to depart within 48 hours for a mission lasting 7 days. Urgent replacement of these shock mounts is essential to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"During its operational cycle, ship MNO has initiated condition-based inspections on shock mounts for various pumps and gas turbines. Some shock mount readings are approaching the warning threshold. The ship is slated to sail within the next 48 hours for a mission spanning 7 days. Swift replacement of these shock mounts is imperative to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship PQR, amidst its operational cycle, has commenced condition-based inspections on shock mounts for various pumps and gas turbines. A few shock mount readings are nearing the warning threshold. The ship is scheduled to depart within the next 48 hours for a 7-day mission. Immediate replacement of these shock mounts is necessary to sustain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"A ship known as LMN, currently in its operational cycle, has initiated condition-based inspections on shock mounts for various pumps and gas turbines. Certain shock mount readings are approaching the warning threshold. The ship is set to embark on a mission within the next 48 hours, expected to last 7 days. Urgent replacement of these shock mounts is essential to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship GHI, amidst its operational cycle, has commenced condition-based inspections on shock mounts for various pumps and gas turbines. Some shock mount readings are nearing the warning threshold. The ship is slated to sail within the next 48 hours for a mission spanning 7 days. Immediate replacement of these shock mounts is necessary to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Vessel JKL, during its operational cycle, has initiated condition-based inspections on shock mounts for various pumps and gas turbines. A few shock mount readings are approaching the warning threshold. The vessel is scheduled to depart within the next 48 hours for a mission lasting 7 days. Swift replacement of these shock mounts is imperative to sustain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship STU, currently in its operational cycle, has commenced condition-based inspections on shock mounts for various pumps and gas turbines. Certain shock mount readings are nearing the warning threshold. The ship is set to embark on a mission within the next 48 hours, expected to last 7 days. Urgent replacement of these shock mounts is essential to uphold mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"During its operational cycle, ship VWX has initiated condition-based inspections on shock mounts for various pumps and gas turbines. Some shock mount readings are approaching the warning threshold. The ship is scheduled to depart within the next 48 hours for a 7-day mission. Immediate replacement of these shock mounts is necessary to maintain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
"Ship EFG, amidst its operational cycle, has commenced condition-based inspections on shock mounts for various pumps and gas turbines. A few shock mount readings are nearing the warning threshold. The ship is slated to sail within the next 48 hours for a mission spanning 7 days. Swift replacement of these shock mounts is imperative to sustain mission reliability at 0.9.",Maintenance,,Equipment,Evaluate,Equipment,Ships,48 hours,Ship,Interrogation and interception,Minimum time,"Spares availability,Reliability,Conformance ",Activity sequence
