Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The satellite images show an adversary ship is sailing at location K, at 300 miles north west of own base which needs to be intercepted and interrogated. This may require engagement using SSMs in case of hostile action by the adversary’s ship. The mission is to be executed in the next 48 hours. The fleet must deploy suitable ship for this mission in the next 24 hours.  The speed of 25 knots (including availability of Propulsion systems and PGD systems), endurance of at least 07 days (Ration; Fuel; RO plant)",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images show an enemy ship at location K, about 300 miles northwest of its base. We need to stop and question it, and might have to use missiles if it turns hostile. The mission has to happen in the next 48 hours, so we have to send a suitable ship in the next 24 hours. The ship needs to go at a speed of 25 knots, have enough fuel and supplies for at least 7 days, including food, fuel, and a system to produce fresh water (RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite pics caught an enemy ship near spot K, far from its base. We've got to check it out, and if it gets nasty, we might need to use missiles. The mission has to go down in 48 hours, so we're sending a good ship in the next 24. It needs to go 25 knots, have enough fuel and supplies for 7 days - food, fuel, and a way to make fresh water (RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images spotted an enemy ship at location K, around 300 miles northwest of its home base. We need to intercept and question it, and if things go south, we might have to use missiles. The mission has to happen in the next 48 hours, so we're sending out a suitable ship within the next 24 hours. The ship should move at 25 knots, with operational propulsion and PGD systems, and it should have supplies lasting at least 7 days - including food, fuel, and a Reverse Osmosis (RO) plant for fresh water.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite pictures show an enemy ship at location K, roughly 300 miles northwest of its base. We need to intercept and question it, and if it becomes a threat, missiles might be necessary. The mission has to be completed in the next 48 hours, so a suitable ship must be deployed within the next 24 hours. The chosen ship should have a speed of 25 knots, functioning propulsion and PGD systems, and an endurance of at least 7 days, with provisions such as food, fuel, and a Reverse Osmosis (RO) plant for fresh water.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary ship has been spotted at location K, 300 miles northwest of its own base in satellite images. We need to intercept and gather information, and if the situation turns hostile, we might need to use missiles. The mission is scheduled for the next 48 hours, so we're sending a suitable ship within the next 24 hours. The ship needs to have a speed of 25 knots, operational propulsion and PGD systems, and an endurance of at least 7 days with provisions like food, fuel, and a Reverse Osmosis (RO) plant for fresh water.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images reveal an enemy ship at location K, situated about 300 miles northwest of its base. The task is to intercept and question it, and in case of hostility, we may need to engage with missiles. The mission is set for the next 48 hours, prompting the deployment of a suitable ship within the next 24 hours. The ship should have a speed of 25 knots, operational propulsion and PGD systems, and an endurance of at least 7 days, including provisions like food, fuel, and a Reverse Osmosis (RO) plant for fresh water.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"A ship is sailing at 300 miles North West from the base, which needs to be stop and check. In case of any hostile action, the SSMs can be used. The mission need to be complete in the next 48 hours, and the ships must deploy within the 24 hours. The ship must be ready for atleast 7 day mission (ration, fuel and ro plant), and need to have a speed of 25 knots.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite pics found an enemy ship at location K, 300 miles northwest of its base. We gotta check it out and might use missiles if things get bad. Mission's in 48 hours, so we need a suitable ship in the next 24. The ship should go 25 knots, have enough supplies for 7 days, including food, fuel, and a system to make fresh water (RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images reveal an enemy ship at location K, around 300 miles northwest of its home base. We're gearing up to intercept and investigate, prepared to use missiles if necessary. The mission is scheduled within the next 48 hours, prompting the deployment of a suitable ship within the next 24 hours. The chosen vessel should have a speed of 25 knots, including operational propulsion and PGD systems. It must ensure an endurance of at least 7 days, encompassing supplies such as rations, fuel, and a Reverse Osmosis (RO) plant for freshwater. Further details about specific ship requirements and potential threats are currently being assessed.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Based on satellite images, we've detected an adversary ship at location K, approximately 300 miles northwest of its home base. Our response involves intercepting and investigating, with a readiness to use missiles if required. The mission is slated for the next 48 hours, necessitating the deployment of an apt vessel within the coming 24 hours. The selected ship should maintain a speed of 25 knots, equipped with operational propulsion systems. It must also guarantee an endurance of at least 7 days, encompassing essential supplies like rations, fuel, and a Reverse Osmosis (RO) plant for freshwater. Further examination of specific ship requirements and potential threats is currently underway.",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite images depict an adversary ship at location K, situated 300 miles northwest of our base. Intercepting and interrogating the ship is imperative. Engagement with SSMs might be necessary in the event of hostility. The mission must be completed within the next 48 hours. Deployment of a suitable ship by the fleet is required within the next 24 hours. The ship must maintain a speed of 25 knots, with operational propulsion and PGD systems, and an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary vessel has been detected via satellite imagery, navigating at location K, approximately 300 miles northwest of our base. Intercepting and investigating the vessel is of utmost importance. If the situation escalates, engagement with SSMs might be necessary. The mission is scheduled for completion within the next 48 hours, requiring the deployment of a suitable ship within the next 24 hours. The selected ship must travel at a speed of 25 knots, with fully operational propulsion and PGD systems, and an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance has identified an adversary ship at location K, situated 300 miles northwest of our base. Intercepting and interrogating the vessel is necessary. If hostile actions occur, engagement with SSMs may be required. The mission's completion is expected within the next 48 hours, prompting the fleet to deploy a suitable ship within the next 24 hours. The chosen vessel must maintain a speed of 25 knots, equipped with operational propulsion and PGD systems, and possess an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"A hostile ship has been detected through satellite imagery, navigating at location K, around 300 miles northwest of our base. Intercepting and interrogating the ship is essential. In case of hostility, engagement with SSMs may be necessary. The mission must be executed within the next 48 hours, requiring the fleet to deploy a suitable ship within the next 24 hours. The selected ship must travel at a speed of 25 knots, equipped with operational propulsion and PGD systems, and maintain an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance has identified an adversary ship at location K, positioned approximately 300 miles northwest of our base. Intercepting and interrogating the ship is imperative. If necessary, engagement with SSMs might be required. The mission's completion is slated within the next 48 hours, necessitating the deployment of a suitable ship within the next 24 hours. The chosen vessel must operate at a speed of 25 knots, equipped with fully functional propulsion and PGD systems, and have an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"An adversary ship has been identified via satellite images, navigating at location K, approximately 300 miles northwest of our base. Intercepting and interrogating the vessel is a critical mission. Engagement with SSMs may be necessary in case of hostility. The mission's deadline is within the next 48 hours, prompting the fleet to deploy a suitable ship within the next 24 hours. The chosen vessel must travel at a speed of 25 knots, equipped with operational propulsion and PGD systems, and possess an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
"Satellite surveillance has detected an adversary ship at location K, situated approximately 300 miles northwest of our base. Intercepting and interrogating the vessel is vital. Engagement with SSMs may be necessary in hostile situations. The mission's deadline is within the next 48 hours, requiring the fleet to deploy a suitable ship within the next 24 hours. The selected vessel must travel at a speed of 25 knots, equipped with operational propulsion and PGD systems, and have an endurance of at least 7 days (including provisions such as ration, fuel, and RO plant).",Mission,,Fleet,Select K out of N,Ship,Fleet,24 hours,K,Interrogation and interception,Minimum risk,"Capability,Speed,Endurance,Ration,Fuel,Spares availability","Ship class,Fleet availability"
