Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"To prepare for the upcoming annual refit conference, the fleet must schedule the plan for the refit of ships and submarines under its command. With two operational dry docks available in the yard, no more than three ships or submarines should undergo refit simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits for ships and submarines. Additionally, the repair workshop must be fully operational during the ship's refit, maintaining more than 80% manpower strength. Spares required for equipment overhaul may arrive two months before the commencement of the refit plan.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To plan for the upcoming annual refit conference, the fleet needs to schedule the refit of ships and submarines within its command. With two operational dry docks available in the yard, the refit of no more than three ships or submarines should occur simultaneously. Memorandums of understanding (MoMs) must be released within a week, prioritizing the order of refits for ships and submarines. The repair workshop must be fully operational during the ship's refit, with more than 80% manpower strength. Spares necessary for equipment overhaul may arrive two months prior to the refit plan commencement.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is tasked with scheduling the plan for the refit of ships and submarines in preparation for the upcoming annual refit conference. With two operational dry docks available in the yard, no more than three ships or submarines should be undergoing refit simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits. Additionally, the repair workshop must be fully operational during the ship's refit, with more than 80% manpower strength. Spares needed for equipment overhaul may arrive two months before the refit plan commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet needs to plan the refit of ships and submarines for the upcoming annual refit conference. With two operational dry docks in the yard, the refit of no more than three ships or submarines should occur simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits for ships and submarines. Additionally, the repair workshop must maintain more than 80% manpower strength during the ship's refit. Spares necessary for equipment overhaul may arrive two months before the refit plan commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To prepare for the upcoming annual refit conference, the fleet must schedule the plan for the refit of ships and submarines under its command. With two operational dry docks available in the yard, no more than three ships or submarines should undergo refit simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits for ships and submarines. Additionally, the repair workshop must be fully operational during the ship's refit, maintaining more than 80% manpower strength. Spares required for equipment overhaul may arrive two months before the commencement of the refit plan.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To plan for the upcoming annual refit conference, the fleet needs to schedule the refit of ships and submarines within its command. With two operational dry docks available in the yard, the refit of no more than three ships or submarines should occur simultaneously. Memorandums of understanding (MoMs) must be released within a week, prioritizing the order of refits for ships and submarines. The repair workshop must be fully operational during the ship's refit, with more than 80% manpower strength. Spares necessary for equipment overhaul may arrive two months prior to the refit plan commencement.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is tasked with scheduling the plan for the refit of ships and submarines in preparation for the upcoming annual refit conference. With two operational dry docks available in the yard, no more than three ships or submarines should be undergoing refit simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits. Additionally, the repair workshop must be fully operational during the ship's refit, with more than 80% manpower strength. Spares needed for equipment overhaul may arrive two months before the refit plan commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet needs to plan the refit of ships and submarines for the upcoming annual refit conference. With two operational dry docks in the yard, the refit of no more than three ships or submarines should occur simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits for ships and submarines. Additionally, the repair workshop must maintain more than 80% manpower strength during the ship's refit. Spares necessary for equipment overhaul may arrive two months before the refit plan commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To prepare for the upcoming annual refit conference, the fleet must schedule the plan for the refit of ships and submarines under its command. With two operational dry docks available in the yard, no more than three ships or submarines should undergo refit simultaneously. Memorandums of understanding (MoMs) are to be released within a week, prioritizing the order of refits for ships and submarines. Additionally, the repair workshop must be fully operational during the ship's refit, maintaining more than 80% manpower strength. Spares required for equipment overhaul may arrive two months before the commencement of the refit plan.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"To plan for the upcoming annual refit conference, the fleet needs to schedule the refit of ships and submarines within its command. With two operational dry docks available in the yard, the refit of no more than three ships or submarines should occur simultaneously. Memorandums of understanding (MoMs) must be released within a week, prioritizing the order of refits for ships and submarines. The repair workshop must be fully operational during the ship's refit, with more than 80% manpower strength. Spares necessary for equipment overhaul may arrive two months prior to the refit plan commencement.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
