Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"The fleet needs to schedule a plan for the refit of ships and submarines at the upcoming annual conference. There are two dry docks available, and no more than three vessels should undergo refit simultaneously. Memorandums of understanding (MoMs) will be released within a week, prioritizing the vessels. Repair workshops must maintain at least 80% manpower during refits. Spare parts for equipment overhauls will be delivered two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is planning the annual refit for ships and submarines. Two dry docks are available, but only three vessels can be refitted concurrently. MoMs will be issued within a week to prioritize the vessels. It is imperative that repair workshops maintain over 80% of their manpower during refits. Spare parts for equipment overhaul should be procured two months prior to the refit commencement.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The upcoming annual refit conference requires meticulous planning for both ships and submarines. There are only two operational dry docks in the yard, limiting simultaneous refits to three vessels. MoMs, crucial for prioritizing vessels, must be released within a week. The repair workshops must operate with no less than 80% manpower during refits to ensure efficiency. Additionally, spare parts necessary for equipment overhauls should be procured and available at least two months before the refit schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet must plan the annual refit for its ships and submarines. With only two dry docks available, no more than three vessels can be refitted simultaneously. MoMs will be distributed within a week to prioritize vessels, while ensuring that repair workshops maintain at least 80% manpower during refits. Spare parts for equipment overhauls are expected to arrive two months prior to the commencement of refits.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Planning the annual refit for ships and submarines is underway. The limited availability of two dry docks necessitates careful coordination, with a maximum of three vessels undergoing refit concurrently. MoMs will be dispatched promptly to prioritize vessels, while repair workshops are required to operate with a minimum of 80% manpower during refits. Adequate spare parts for equipment overhauls are to be procured and delivered two months prior to the scheduled refit start date.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The annual refit conference demands thorough planning for both ships and submarines. Only two operational dry docks are available, restricting simultaneous refits to three vessels. MoMs must be issued within a week to effectively prioritize vessels. Maintaining a workforce of at least 80% in repair workshops during refits is crucial. Furthermore, it's imperative to procure and have available all necessary spare parts for equipment overhauls at least two months prior to the refit initiation.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"As the annual refit conference approaches, the fleet must plan for the maintenance of ships and submarines. With only two dry docks operational, no more than three vessels can be refitted simultaneously. MoMs will be released within a week to prioritize vessels, while ensuring that repair workshops maintain at least 80% manpower during refits. Spare parts for equipment overhauls are expected to arrive two months before the refit schedule begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is preparing for the annual refit of its ships and submarines. Limited by two dry docks, simultaneous refits are capped at three vessels. MoMs will be promptly issued to prioritize vessels, while repair workshops must retain a minimum of 80% manpower during refits. Procurement and delivery of spare parts for equipment overhauls are expected two months prior to the refit commencement.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Ahead of the annual refit conference, meticulous planning is required for both ships and submarines. The fleet must work within the constraints of two dry docks, allowing only three vessels to be refitted concurrently. MoMs must be expedited to prioritize vessels within a week. It's imperative to maintain a workforce of at least 80% in repair workshops during refits. Additionally, all necessary spare parts for equipment overhauls must be procured and available two months before the scheduled refit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is gearing up for its annual refit conference, focusing on the maintenance of ships and submarines. With only two dry docks available, the simultaneous refitting of no more than three vessels is feasible. MoMs will be issued within a week to prioritize vessels, and repair workshops must sustain at least 80% manpower during refits. Spare parts for equipment overhauls should arrive two months prior to the commencement of the refit schedule.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The command must organize the upcoming annual refit conference to plan the refit of all ships and submarines. Two operational dry docks are available at the yard, with a limit of no more than three vessels undergoing refit simultaneously. MoM should be released within a week, prioritizing the vessels. The repair workshops need to be fully operational with over 80% manpower during the refit. Spares needed for equipment overhaul should arrive two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"For the annual refit conference, the fleet must schedule the refit of all ships and submarines in the command. The yard offers two operational dry docks, and only three vessels can be refitted at a time. Prioritize and release the MoM within a week. Ensure repair workshops are fully operational with more than 80% of their manpower during the refit. Required spares should be delivered two months before the start of the refit plan.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The command's annual refit conference will involve scheduling the refit of ships and submarines. Two operational dry docks are available, and no more than three vessels can be refitted simultaneously. MoM must be issued within a week, prioritizing each vessel. The repair workshops need to be fully staffed with at least 80% manpower during the refit. Spares for the overhaul should arrive two months before the refit commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"During the upcoming annual refit conference, the fleet needs to plan the refit of all vessels within the command. The yard has two operational dry docks, limiting the refit to three ships or submarines at a time. MoM should be prioritized and released within a week. Repair workshops must be fully operational with more than 80% manpower during the refit period. Overhaul spares are to be delivered two months in advance.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet must prepare for the annual refit conference, scheduling the refit of ships and submarines. Two operational dry docks are available, accommodating no more than three vessels at once. MoM should prioritize and be released within a week. The repair workshops must be fully functional with over 80% manpower during the refit. Spares required for equipment overhaul need to arrive two months prior to the refit.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"In the upcoming annual refit conference, the command will schedule the refit of ships and submarines. The yard provides two operational dry docks, with a maximum of three vessels undergoing refit simultaneously. MoM must prioritize the vessels and be released within a week. Ensure that repair workshops are fully operational and have more than 80% manpower during the refit. Spares should be delivered two months before the refit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"Scheduling for the annual refit conference involves planning the refit of all ships and submarines in the command. With two operational dry docks, the yard can refit no more than three vessels at a time. MoM are to be prioritized and released within a week. The repair workshops need to be fully operational with at least 80% manpower strength during the refit. Spares must arrive two months before the commencement of the refit.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is tasked with organizing the annual refit conference to plan the refit of vessels in the command. The yard has two operational dry docks, and no more than three ships or submarines can undergo refit at once. MoM should prioritize the vessels and be released within a week. Repair workshops must be fully staffed and operational with over 80% manpower during the refit. Required spares for overhaul should be delivered two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"During the annual refit conference, the fleet must plan the refit schedule for ships and submarines. Two operational dry docks are available, with a limit of three vessels for refit at any time. MoM should prioritize and be issued within a week. The repair workshops need to be fully operational with more than 80% manpower strength during the refit. Spares necessary for the overhaul must arrive two months prior to the refit commencement.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"For the upcoming annual refit conference, the command must schedule the refit of ships and submarines. With two operational dry docks, no more than three vessels can be refitted simultaneously. MoM are to be prioritized and released within a week. Ensure that repair workshops are fully functional with at least 80% manpower during the refit. Spares required for overhaul should arrive two months before the refit starts.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"During the upcoming annual refit conference, the command must develop a plan for the refit of all naval vessels. The shipyard has two operational dry docks, with a maximum capacity of three ships or submarines at a time for refit. Meeting minutes (MoM) must be finalized within a week, prioritizing the vessels. Repair workshops must be fully operational, maintaining at least 80% manpower throughout the refit period. All necessary spares should be delivered two months before the refit begins.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"The fleet is preparing for the annual refit conference, where they will plan the refit schedule for ships and submarines in the command. The shipyard offers two operational dry docks, limiting refit operations to three vessels at any given time. The MoM should be prioritized and released within a week. During the refit, repair workshops must operate at over 80% manpower capacity. Spares required for overhauls need to be available two months ahead of the refit schedule.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"For the annual refit conference, the command needs to organize the refit of all vessels. The yard's two operational dry docks can handle up to three ships or submarines simultaneously. MoM must be issued within a week, detailing the prioritized refit plan. Ensure repair workshops are fully staffed with at least 80% manpower during refit operations. Spares for equipment overhauls should arrive two months before the refit commences.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
"In preparation for the annual refit conference, the command must schedule the refit of ships and submarines. Two dry docks are operational in the yard, with a cap of three vessels for refit at a time. MoM should be completed and prioritized within a week. Repair workshops must be fully operational with more than 80% manpower during refit periods. Necessary spares for overhauls need to be delivered two months prior to the refit start date.",Maintenance,,Fleet,Select K out of N,Ship,Fleet,7 days,Yard,Maintenance scheduling,Maximum conformance,"Manpower availability,Spares availability",Ship class
