Scenario,Category,Sub - mission,Level,Action,Entity,From,Time,Location,Task Objective,Objective function,Hard Constrains,Soft Constrains (Preferences)
"As the mission enters its cruising phase, only 2 AC plants are required for the next 20 hours. To meet load balancing requirements, 1 AC plant from the bow and 1AC plantfrom the stern are necessary. The best combination to achieve a reliability of 0.9 with necessary risk score not more than 7/18 is determined. If more (or more) AC units meet the criteria then priority is given to balance their operating hours first.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Only 20 hours of operation are needed during the cruising phase, with only 2 AC plants required. To meet load balancing requirements, 1 AC plant from the bow and 1AC plantfrom the back are necessary. The best combination to achieve a reliability of 0.9 with no risk score greater than or equal to 7/18 is determined. If more than two AC units satisfy this requirement, priority is given to balance their operating hours.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"During the initial 20 hours of the cruising phase, it is necessary to have at least 2 AC plants operational. To meet load balancing demands, 1 AC plant from the bow and 1AC plantfrom the back are required. The most reliable combination to achieve a reliability of 0.9 with fewer than or equal to 7/18 is determined. If more than two AC units satisfy this requirement, priority is given to balance their operating hours.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"When flying towards the cruising range, it is required that no more than 2 AC plants are present during this 20-hour mission. To meet load balancing requirements, one AC plant from above and one at each side of the ship should be in operation, with the objective of achieving an average reliability of 90.9 and a risk score of 7/18. If any additional AC units satisfy these conditions, they must be assigned to balance their working hours first.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"In order to proceed with the mission after 20 hours of cruising, it is necessary to have only 2 AC plants onboard. The load balancing requirements dictate that 1 aircraft per side and 1 aircraft per port should be at sea (AC plant per bow) and each should carry an assigned number of passengers. A best combination for achieving a reliability of no more than 0.9 with 0.7 risk score or less was determined. If more then two AC stations meet this standard but they are not allowed to operate simultaneously, priority is given to balance their working time.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"The cruising phase necessitates the presence of only 2 AC plants for the next 20 hours. To meet load balancing requirements, 1 AC plant from the bow and 1AC plantfrom the stern are necessary; the best combination to achieve an accuracy level around 0.90 with a risk score of 7/18 is established, and priority allocation is given to those plants that meet specific criteria. If more than one AC unit can't meet the requirement or both, their operating hours must be balanced first.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"At the beginning of the cruising phase, it is necessary to have at least 2 AC plants operational for the next 20 hours. To meet load balancing demands, 1 AC plant from the bow and 1AC plantfrom the back are required. The most reliable combination to achieve this goal with not more than 7/18 risk score must be achieved first. If more then (a few) AC Plants satisfy these conditions, priority is given to balance their operating hours when they are installed.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"With only 20 hours left until the cruising phase, only 2 AC plants are required. To meet load balancing requirements, 1 AC plant from the bow and 1AC plantfromthe stern are necessary. The best combination to achieve a reliability of no more than 7/18 with any risk score is determined first; when multiple AC units have met this requirement, priority is given to balance their operating hours for maximum safety.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Just as the mission is approaching its cruising stage, it requires 2 AC plants to be operational within 20 hours; load balancing requirements dictate that at least one (1) AC plant from above and an equal equal amount from the back must remain in operation, and then the best possible combination can be achieved: reliability of 0.9 with not more than 7/18 risk score; when multiple A/C plants are available (such as Euro-5 or Copex), both should be on board, but they must be operated simultaneously.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"Only 2 AC plants are required during the next 20 hours of the mission when entering the cruising phase. To meet load-balancing demands, 1 AC plant from the bow and 1AC plantfrom the back are necessary. The best combination to achieve a reliability of no more than 9/18 with an average risk score is determined. If multiple ACP plants satisfy this requirement, priority is given to balance their operating hours first for maximum safety benefits.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"To proceed with the cruising phase of the mission, only 2 radars are required to be operational within 20 hours. The load balancing procedures require 1 radar from the fore and 1 Radar fromthe aft to remain active. A combination that has 0.9 reliability and preferably fewer than 7/18 and allows balanced operating durations is preferred. If more than one radar system is present, please ensure they meet all requirements.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"When the mission is about to enter its cruising phase, only 2 radars are required to be operational within 20 hours. The load balancing procedures require 1 radar from the fore and 1 Radar fromthe aft to remain active. This ensures that the optimal combination has an accuracy of 0.9 and carries fewer than 7/18 risk scores. If there are several suitable radar systems in use, it is recommended to maintain balanced operating durations.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"For the next 20 hours, only 2 radars are required to be operational during the cruising phase of the mission. To ensure proper load balancing protocols, 1 radar from the fore and 1 Radar fromthe aft must remain active. The most reliable combination is 0.9 and not more than 7/18 in terms of risk score. If there are several suitable radar systems, it should be preferable to maintain balanced operating durations while maintaining reliability above 7/16.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"During the cruising phase of the mission, only 2 radars are required to be operational within 20 hours. The load balancing protocols require 1 radar from the fore and 1 Radar fromthe aft to remain in service while ensuring optimum reliability of 0.9 and achieving 0-7/18 risk scores. If there are several suitable radar systems present, it is recommended to maintain balanced operating durations.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
"After a 20-hour period, it is sufficient to have only 2 radars active during the cruising phase of the mission. To ensure proper load balancing, 1 radar from the fore and 1rad fromthe ft should be operational at all times. The most reliable combination will achieve an accuracy of 0.9 and not exceed 7/18 on simulated tests, while balanced operating durations are preferred when there are several suitable radar systems.",Mission,,Equipment,Select K out of N,Equipment,Ships,Immediate,Sea,Maintenance scheduling,Minimum risk,"Balancing loads,Reliability,Risk score","Working hours,Manpower availability"
